doc,utterance,speaker,query,text,exactage,age1994,agerange,gender,nat,birthplace,birthcountry,l1,lingorig,dialect_rep,hab_city,hab_country,hab_dur,dialect_l1,dialect_l2,dialect_l3,dialect_l4,edqual,occupation,socgrade,nssec,l2,fls,in_core,rec_length,rec_date,rec_year,rec_period,n_speakers,list_speakers,rec_loc,relationships,topics,activity,conv_type,conventions,in_sample,transcriber
SM88,3418,S0013,I 've got to V,I 've got to take,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,1:58:02,2015-05-29,2015,2015_Q2,5,S0012 S0013 S0152 S0153 S0154,Freelancer's home,"Close family, partners, very close friends","Exam results, driving lessons, tweeting photos, food, stories, parents' evening, sport, careers, school, play fights, TV, shopping, hair, football, pressure points",Pizza and chocolate roulade,"Discussing, explaining, Anecdote telling",Revised,n,T10
SM88,2453,S0012,I 've got to V,I 've got to look,70,60plus,70_79,M,British,"Costessey, Norfolk",England,English,England,Norfolk,"Mattishal, Norfolk",England,38,uk,england,south,eastern_engl,2_secondary,Retired,E,8,,,n,1:58:02,2015-05-29,2015,2015_Q2,5,S0012 S0013 S0152 S0153 S0154,Freelancer's home,"Close family, partners, very close friends","Exam results, driving lessons, tweeting photos, food, stories, parents' evening, sport, careers, school, play fights, TV, shopping, hair, football, pressure points",Pizza and chocolate roulade,"Discussing, explaining, Anecdote telling",Revised,n,T10
SM88,404,S0153,I 've got to V,I 've got to do,16,15_24,11_18,F,British,"Norwich, Norfolk",England,English,England,Norfolk,"Mattishal, Norfolk",England,14 years,uk,england,south,eastern_engl,2_secondary,student,E,uncat,,,n,1:58:02,2015-05-29,2015,2015_Q2,5,S0012 S0013 S0152 S0153 S0154,Freelancer's home,"Close family, partners, very close friends","Exam results, driving lessons, tweeting photos, food, stories, parents' evening, sport, careers, school, play fights, TV, shopping, hair, football, pressure points",Pizza and chocolate roulade,"Discussing, explaining, Anecdote telling",Revised,n,T10
SVRQ,577,S0013,I 've got to V,I 've got to put,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,1:21:21,2015-02-01,2015,2015_Q1,3,S0012 S0013 S0152,Speakers' home,"Close family, partners, very close friends","Zumba, colds, winter, car, horses, Samsung apps, teenagers, teaching, Twitter, computers",Chatting with a friend,"Discussing, explaining, complaining",Revised,n,T13
SVRQ,83,S0012,I 've got to V,I 've got to bottle,70,60plus,70_79,M,British,"Costessey, Norfolk",England,English,England,Norfolk,"Mattishal, Norfolk",England,38,uk,england,south,eastern_engl,2_secondary,Retired,E,8,,,n,1:21:21,2015-02-01,2015,2015_Q1,3,S0012 S0013 S0152,Speakers' home,"Close family, partners, very close friends","Zumba, colds, winter, car, horses, Samsung apps, teenagers, teaching, Twitter, computers",Chatting with a friend,"Discussing, explaining, complaining",Revised,n,T13
SVRQ,83,S0012,I 've got to V,I 've got to bottle,70,60plus,70_79,M,British,"Costessey, Norfolk",England,English,England,Norfolk,"Mattishal, Norfolk",England,38,uk,england,south,eastern_engl,2_secondary,Retired,E,8,,,n,1:21:21,2015-02-01,2015,2015_Q1,3,S0012 S0013 S0152,Speakers' home,"Close family, partners, very close friends","Zumba, colds, winter, car, horses, Samsung apps, teenagers, teaching, Twitter, computers",Chatting with a friend,"Discussing, explaining, complaining",Revised,n,T13
SVRQ,85,S0012,I 've got to V,I 've got to put,70,60plus,70_79,M,British,"Costessey, Norfolk",England,English,England,Norfolk,"Mattishal, Norfolk",England,38,uk,england,south,eastern_engl,2_secondary,Retired,E,8,,,n,1:21:21,2015-02-01,2015,2015_Q1,3,S0012 S0013 S0152,Speakers' home,"Close family, partners, very close friends","Zumba, colds, winter, car, horses, Samsung apps, teenagers, teaching, Twitter, computers",Chatting with a friend,"Discussing, explaining, complaining",Revised,n,T13
SW6K,89,S0013,I 've got to V,I 've got to go,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,1:59:07,2015-05-27,2015,2015_Q2,3,S0012 S0013 S0419,Freelancer's home,"Close family, partners, very close friends","Cars, obsessive compulsive disorders, religion, family, accidents, books, workmates, own space, helping others",Brother visit,"Discussing, explaining, anecdote telling",Revised,n,T09
SD2R,1834,S0013,I 've got to V,I 've got to keep,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,1:38:47,2012-03-08,2012,2012_Q1,3,S0012 S0013 S0152,"ANON's home, Norfolk","Friends, wider family circle","School, wardrobe, deliverymen, jokes, television programs, tweeting, binge drinking, health service, cleaning",ANON ANON and friend discussing schools and other topics.,"Discussing, anecdote telling, telling jokes",Original,y,T11
S84P,309,S0013,I 've got to V,I 've got to concentrate,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,0:30:41,2012-03-06,2012,2012_Q1,3,S0013 S0024 S0144,"ANON's home, Norfolk","Close family, partners, very close friends","Trees, making arrangements, catering, playing a game",Family play a board game and have a general chat.,"Discussing, explaining, inquiring, requesting, making arrangements",Original,y,T03
S2T6,2073,S0013,I 've got to V,I 've got to fill,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,2:00:00,2015-01-20,2015,2015_Q1,3,S0008 S0012 S0013,Speakers' home,"Close family, partners, very close friends","Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",,"Discussing, explaining, inquiring",Revised,n,T10
S2T6,2657,S0013,I 've got to V,I 've got to go,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,2:00:00,2015-01-20,2015,2015_Q1,3,S0008 S0012 S0013,Speakers' home,"Close family, partners, very close friends","Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",,"Discussing, explaining, inquiring",Revised,n,T10
S2T6,646,S0008,I 've got to V,I 've got to recover,66,60plus,60_69,M,British,"Norwich, Norfolk",England,English,England,Norfolk,"Dereham, Norfolk",England,66,uk,england,south,eastern_engl,4_graduate,Civil engineer (retired),E,8,,German -- level unspecified,y,2:00:00,2015-01-20,2015,2015_Q1,3,S0008 S0012 S0013,Speakers' home,"Close family, partners, very close friends","Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",,"Discussing, explaining, inquiring",Revised,n,T10
SWFJ,955,S0025,I 've got to V,I 've got to go,,Unknown,30_39,F,British,"Norwich, Norfolk",England,English,England,Southern,"Stroud, Gloucestershire",England,4 years,uk,england,south,unspecified,4_graduate,Training Manager,B,2,,,n,0:57:58,2012-03-19,2012,2012_Q1,4,S0024 S0025 S0062 S0144,"ANON's home, Norfolk","Close family, partners, very close friends","Food, pubs, family, CRB checks, circumcision, drink, driving, hotels, protests, art, london ",Family having dinner.,"Discussing, explaining, anecdote telling",Original,y,T20
S7P2,1,S0509,I 've got to V,I 've got to go,16,15_24,11_18,F,British,Hastings,England,English,England,Southern,Hastings,UK,5 years,uk,england,south,unspecified,2_secondary,Student,E,uncat,,,y,0:14:29,2015-10-05,2015,2015_Q4,2,S0509 S0510,"ANON & ANON's home, Hastings","Close family, partners, very close friends","College, Drama",Mother and Daughter discuss Theatre,"discussing, explaining, inquiring, cmplaining, ",Revised,n,T18
S7P2,37,S0509,I 've got to V,I 've got to talk,16,15_24,11_18,F,British,Hastings,England,English,England,Southern,Hastings,UK,5 years,uk,england,south,unspecified,2_secondary,Student,E,uncat,,,y,0:14:29,2015-10-05,2015,2015_Q4,2,S0509 S0510,"ANON & ANON's home, Hastings","Close family, partners, very close friends","College, Drama",Mother and Daughter discuss Theatre,"discussing, explaining, inquiring, cmplaining, ",Revised,n,T18
SXXN,403,S0509,I 've got to V,I 've got to remind,16,15_24,11_18,F,British,Hastings,England,English,England,Southern,Hastings,UK,5 years,uk,england,south,unspecified,2_secondary,Student,E,uncat,,,y,0:19:07,2015-11-30,2015,2015_Q4,2,S0509 S0510,"ANON & ANON's home, Hastings","Close family, partners, very close friends","Film and TV, Harry Potter, the Arts",Mother and Daughter discussing Film and TV,Discussing,Revised,n,T18
SXXN,412,S0510,I 've got to V,I 've got to pick,47,45_59,40_49,F,British,England,England,English,England,Southern,Hastings,UK,5 years,uk,england,south,unspecified,5_postgrad,Receptionist,D,6,,,y,0:19:07,2015-11-30,2015,2015_Q4,2,S0509 S0510,"ANON & ANON's home, Hastings","Close family, partners, very close friends","Film and TV, Harry Potter, the Arts",Mother and Daughter discussing Film and TV,Discussing,Revised,n,T18
S8XE,494,S0509,I 've got to V,I 've got to buy,16,15_24,11_18,F,British,Hastings,England,English,England,Southern,Hastings,UK,5 years,uk,england,south,unspecified,2_secondary,Student,E,uncat,,,y,0:33:26,2015-11-13,2015,2015_Q4,2,S0509 S0510,"ANON & ANON's home, Hastings","Close family, partners, very close friends","Bike theft, Social Media, College, Food, Cycling",Mother telling daughter about recovery of stolen bike,"dicsussing, inquiring, anecdote telling",Revised,n,T18
S8XE,506,S0509,I 've got to V,I 've got to get,16,15_24,11_18,F,British,Hastings,England,English,England,Southern,Hastings,UK,5 years,uk,england,south,unspecified,2_secondary,Student,E,uncat,,,y,0:33:26,2015-11-13,2015,2015_Q4,2,S0509 S0510,"ANON & ANON's home, Hastings","Close family, partners, very close friends","Bike theft, Social Media, College, Food, Cycling",Mother telling daughter about recovery of stolen bike,"dicsussing, inquiring, anecdote telling",Revised,n,T18
S8XE,328,S0510,I 've got to V,I 've got to buy,47,45_59,40_49,F,British,England,England,English,England,Southern,Hastings,UK,5 years,uk,england,south,unspecified,5_postgrad,Receptionist,D,6,,,y,0:33:26,2015-11-13,2015,2015_Q4,2,S0509 S0510,"ANON & ANON's home, Hastings","Close family, partners, very close friends","Bike theft, Social Media, College, Food, Cycling",Mother telling daughter about recovery of stolen bike,"dicsussing, inquiring, anecdote telling",Revised,n,T18
S7VD,7,S0509,I 've got to V,I 've got to do,16,15_24,11_18,F,British,Hastings,England,English,England,Southern,Hastings,UK,5 years,uk,england,south,unspecified,2_secondary,Student,E,uncat,,,y,0:39:45,2016-01-01,2016,2016_Q1,2,S0509 S0510,"ANON & ANON's home, Hastings","Close family, partners, very close friends","Education, group work",Mother and Daughter talk about college and university,"Discussing, inquiring, complaining, advising, anecdote telling",Revised,n,T19
S7NV,425,S0529,I 've got to V,I 've got to stop,20,15_24,19_29,F,British,Falmouth,UK,English,England,Cornish/Southern,Falmouth,UK,18 years,uk,england,south,southwest,3_sixthform,,unknown,unknown,,,y,1:00:06,2015-11-17,2015,2015_Q4,2,S0529 S0530,"ANON’s bedroom in university halls, Lancaster University","Close family, partners, very close friends","The future and old age, art, essays, computer games",Two flatmates talking about art and university work ,"Discussing, Inquiring, advising,",Revised,n,T15
SB5E,272,S0529,I 've got to V,I 've got to find,20,15_24,19_29,F,British,Falmouth,UK,English,England,Cornish/Southern,Falmouth,UK,18 years,uk,england,south,southwest,3_sixthform,,unknown,unknown,,,y,0:59:59,2015-11-09,2015,2015_Q4,4,S0529 S0530 S0532 S0533,"Uni accommodation kitchen, Lancaster University","Friends, wider family circle","Money, uni accommodation complaining, family, gossip",Flatmates talking in the kitchen in the evening,"Discussing, complaining, anecdote telling, ",Revised,n,T10
SB5E,130,S0530,I 've got to V,I 've got to start,19,15_24,19_29,F,British,Liverpool,UK,English,England,Cheshire,Chester,UK,19,uk,england,north,northwest,3_sixthform,Student,E,uncat,,,y,0:59:59,2015-11-09,2015,2015_Q4,4,S0529 S0530 S0532 S0533,"Uni accommodation kitchen, Lancaster University","Friends, wider family circle","Money, uni accommodation complaining, family, gossip",Flatmates talking in the kitchen in the evening,"Discussing, complaining, anecdote telling, ",Revised,n,T10
SKPB,340,S0320,I 've got to V,I 've got to go,34,25_34,30_39,F,British,Torquay,England,English,England,South,Totnes,England,6,uk,england,south,unspecified,3_sixthform,TEFL teacher,C1,3,,Spanish -- advanced; French -- intermediate; German -- beginner,y,0:40:02,2014-11-13,2014,2014_Q4,2,S0320 S0323,032ANON's home,"Friends, wider family circle","Beauty, hair, nails, friends, shopping",Friends talking about a beauty products over a cup of coffee.,"Discussing, explaining, inquiring, advising",Revised,y,T18
SKPB,534,S0320,I 've got to V,I 've got to go,34,25_34,30_39,F,British,Torquay,England,English,England,South,Totnes,England,6,uk,england,south,unspecified,3_sixthform,TEFL teacher,C1,3,,Spanish -- advanced; French -- intermediate; German -- beginner,y,0:40:02,2014-11-13,2014,2014_Q4,2,S0320 S0323,032ANON's home,"Friends, wider family circle","Beauty, hair, nails, friends, shopping",Friends talking about a beauty products over a cup of coffee.,"Discussing, explaining, inquiring, advising",Revised,y,T18
SKPB,696,S0320,I 've got to V,I 've got to do,34,25_34,30_39,F,British,Torquay,England,English,England,South,Totnes,England,6,uk,england,south,unspecified,3_sixthform,TEFL teacher,C1,3,,Spanish -- advanced; French -- intermediate; German -- beginner,y,0:40:02,2014-11-13,2014,2014_Q4,2,S0320 S0323,032ANON's home,"Friends, wider family circle","Beauty, hair, nails, friends, shopping",Friends talking about a beauty products over a cup of coffee.,"Discussing, explaining, inquiring, advising",Revised,y,T18
SKPB,698,S0320,I 've got to V,I 've got to get,34,25_34,30_39,F,British,Torquay,England,English,England,South,Totnes,England,6,uk,england,south,unspecified,3_sixthform,TEFL teacher,C1,3,,Spanish -- advanced; French -- intermediate; German -- beginner,y,0:40:02,2014-11-13,2014,2014_Q4,2,S0320 S0323,032ANON's home,"Friends, wider family circle","Beauty, hair, nails, friends, shopping",Friends talking about a beauty products over a cup of coffee.,"Discussing, explaining, inquiring, advising",Revised,y,T18
S622,39,S0320,I 've got to V,I 've got to book,34,25_34,30_39,F,British,Torquay,England,English,England,South,Totnes,England,6,uk,england,south,unspecified,3_sixthform,TEFL teacher,C1,3,,Spanish -- advanced; French -- intermediate; German -- beginner,y,0:13:12,2014-11-19,2014,2014_Q4,2,S0320 S0322,0320's home,"Friends, wider family circle","Travel, free time, work, holiday",Friends talking about holidays,"Discussing, explaining, inquiring, advising, anecdote telling",Revised,y,T10
SNQB,287,S0320,I 've got to V,I 've got to buy,34,25_34,30_39,F,British,Torquay,England,English,England,South,Totnes,England,6,uk,england,south,unspecified,3_sixthform,TEFL teacher,C1,3,,Spanish -- advanced; French -- intermediate; German -- beginner,y,0:24:11,2014-12-11,2014,2014_Q4,2,S0320 S0442,"ANON's home, Totnes, Devon","Friends, wider family circle","Christmas, Family life, work and conferences","discussing, explaining, anecdote telling",,Revised,y,T19
SBXK,294,S0325,I 've got to V,I 've got to wear,13,0_14,11_18,F,British,Cambridge,England,English,England,South,Cambridge,England,9,uk,england,south,unspecified,2_secondary,student,E,uncat,,Japanese -- level unspecified,y,0:26:25,2014-12-01,2014,2014_Q4,2,S0324 S0325,"ANON's home, Linton","Friends, wider family circle","People at school, Tennis, Xbox, YouTube, Making rubber stamps, Christmas fair, Christmas presents, Christmas decorations, Shopping, Stagecoach",Friends talking about school and Christmas,"Discussing, explaining, inquiring, complaining,, announcing, anecdote telling, making arrangements",Revised,y,T06
SL3R,748,S0325,I 've got to V,I 've got to start,13,0_14,11_18,F,British,Cambridge,England,English,England,South,Cambridge,England,9,uk,england,south,unspecified,2_secondary,student,E,uncat,,Japanese -- level unspecified,y,0:32:00,2015-05-13,2015,2015_Q2,2,S0324 S0325,"ANON's home, Linton","Close family, partners, very close friends","GCSE options, Jobs, bogs and bloggers, YouTube and you tubers, Famous people, clarinet, School and perfect duty, PE","Friends talking about school, jobs and famous people","Discussing, explaining, inquiring, complaining, advising, announcing, anecdote telling",Revised,y,T10
S4PF,113,S0325,I 've got to V,I 've got to pass,13,0_14,11_18,F,British,Cambridge,England,English,England,South,Cambridge,England,9,uk,england,south,unspecified,2_secondary,student,E,uncat,,Japanese -- level unspecified,y,0:31:49,2015-05-13,2015,2015_Q2,2,S0324 S0325,"ANON's home, Linton","Close family, partners, very close friends","Music, school, Jobs, Maths and English, Spanish (language futures) Past years, Food tech, homework",Friends discussing school,"Discussing, explaining, inquiring, complaining, advising, announcing, anecdote telling",Revised,y,T10
SQ2W,373,S0439,I 've got to V,I 've got to take,23,15_24,19_29,F,British,UK,UK,English,England,Southern - Non-accent,Cambridge,England,6 months,uk,england,south,unspecified,4_graduate,Project Co-ordinator,B,2,,,n,0:30:21,2015-09-28,2015,2015_Q3,2,S0439 S0441,Bedroom and Kitchen,"Close family, partners, very close friends","sport, food, friends, catch-up, ex-boyfriends, family, work, house",Catch-up with housemate after holiday,"discussing, explaining, inquiring, complaining, requestion, inviting, announcing, anecdote telling, making arrangements",Revised,n,T02
S5YC,267,S0439,I 've got to V,I 've got to wait,23,15_24,19_29,F,British,UK,UK,English,England,Southern - Non-accent,Cambridge,England,6 months,uk,england,south,unspecified,4_graduate,Project Co-ordinator,B,2,,,n,0:41:42,2015-09-16,2015,2015_Q3,2,S0439 S0441,Home –Kitchen,"Close family, partners, very close friends","Holiday, great north run, Newcastle, netball, sport, food, friends, catch-up",Catch-up with housemate after holiday,"discussing, explaining, inquiring, complaining, inviting, announcing, anecdote telling, making arrangements",Revised,n,T19
S5YC,331,S0439,I 've got to V,I 've got to wait,23,15_24,19_29,F,British,UK,UK,English,England,Southern - Non-accent,Cambridge,England,6 months,uk,england,south,unspecified,4_graduate,Project Co-ordinator,B,2,,,n,0:41:42,2015-09-16,2015,2015_Q3,2,S0439 S0441,Home –Kitchen,"Close family, partners, very close friends","Holiday, great north run, Newcastle, netball, sport, food, friends, catch-up",Catch-up with housemate after holiday,"discussing, explaining, inquiring, complaining, inviting, announcing, anecdote telling, making arrangements",Revised,n,T19
S5YC,481,S0439,I 've got to V,I 've got to change,23,15_24,19_29,F,British,UK,UK,English,England,Southern - Non-accent,Cambridge,England,6 months,uk,england,south,unspecified,4_graduate,Project Co-ordinator,B,2,,,n,0:41:42,2015-09-16,2015,2015_Q3,2,S0439 S0441,Home –Kitchen,"Close family, partners, very close friends","Holiday, great north run, Newcastle, netball, sport, food, friends, catch-up",Catch-up with housemate after holiday,"discussing, explaining, inquiring, complaining, inviting, announcing, anecdote telling, making arrangements",Revised,n,T19
SZQX,255,S0439,I 've got to V,I 've got to get,23,15_24,19_29,F,British,UK,UK,English,England,Southern - Non-accent,Cambridge,England,6 months,uk,england,south,unspecified,4_graduate,Project Co-ordinator,B,2,,,n,1:31:13,2015-08-02,2015,2015_Q3,2,S0439 S0450,Bills Restaurant - Peterborough,"Friends, wider family circle","Food, holidays, memories, catching-up, work, home-life, parents, family, friends, future plans.  ",Meeting up with University friend.  ,"Discussing, explaining, inquiring, inviting, anecdote telling, amking arrangements",Revised,y,T10
SZQX,1979,S0439,I 've got to V,I 've got to have,23,15_24,19_29,F,British,UK,UK,English,England,Southern - Non-accent,Cambridge,England,6 months,uk,england,south,unspecified,4_graduate,Project Co-ordinator,B,2,,,n,1:31:13,2015-08-02,2015,2015_Q3,2,S0439 S0450,Bills Restaurant - Peterborough,"Friends, wider family circle","Food, holidays, memories, catching-up, work, home-life, parents, family, friends, future plans.  ",Meeting up with University friend.  ,"Discussing, explaining, inquiring, inviting, anecdote telling, amking arrangements",Revised,y,T10
SZQX,351,S0450,I 've got to V,I 've got to spend,24,15_24,19_29,F,British/Indian,England,England,English,England,Midlands,Leicester,England,24 years,uk,england,midlands,unspecified,4_graduate,Graduate Placement,E,uncat,,,y,1:31:13,2015-08-02,2015,2015_Q3,2,S0439 S0450,Bills Restaurant - Peterborough,"Friends, wider family circle","Food, holidays, memories, catching-up, work, home-life, parents, family, friends, future plans.  ",Meeting up with University friend.  ,"Discussing, explaining, inquiring, inviting, anecdote telling, amking arrangements",Revised,y,T10
S382,774,S0439,I 've got to V,I 've got to go,23,15_24,19_29,F,British,UK,UK,English,England,Southern - Non-accent,Cambridge,England,6 months,uk,england,south,unspecified,4_graduate,Project Co-ordinator,B,2,,,n,1:20:03,2015-10-12,2015,2015_Q4,2,S0439 S0441,Home- Kitchen,"Close family, partners, very close friends","Food, weekend, work, English counties and places, Halloween parties, future 5-year plans.  ",Catch-up with housemate,"discussing, explaining, inquiring, complaining, advising, announcing, anecdote telling, making arrangements, telling jokes",Revised,n,T15
S6A7,435,S0439,I 've got to V,I 've got to go,23,15_24,19_29,F,British,UK,UK,English,England,Southern - Non-accent,Cambridge,England,6 months,uk,england,south,unspecified,4_graduate,Project Co-ordinator,B,2,,,n,0:47:38,2015-07-20,2015,2015_Q3,2,S0439 S0441,Home - kitchen,"Close family, partners, very close friends","Food, friends, relationships, work, cooking, annoyance, disagreement. ",Evening catch-up with housemate after a busy weekend. ,"Discussing, explaining, inquiring, complaining, advising, inviting, anecdote telling, making arrangements, telling jokes",Revised,y,T09
S6A7,638,S0439,I 've got to V,I 've got to do,23,15_24,19_29,F,British,UK,UK,English,England,Southern - Non-accent,Cambridge,England,6 months,uk,england,south,unspecified,4_graduate,Project Co-ordinator,B,2,,,n,0:47:38,2015-07-20,2015,2015_Q3,2,S0439 S0441,Home - kitchen,"Close family, partners, very close friends","Food, friends, relationships, work, cooking, annoyance, disagreement. ",Evening catch-up with housemate after a busy weekend. ,"Discussing, explaining, inquiring, complaining, advising, inviting, anecdote telling, making arrangements, telling jokes",Revised,y,T09
